origin;destination;shortest_flight(h);longest_fight(h);cheapest_flight;most_expensive_flight;average_time;average_price
GRU-Brasil;KIN-Jamaica;1;22;R$ 2006.00;R$ 4769.00;11.9;R$ 3183.10
MEX-México;FEN-Brasil;6;23;R$ 2932.00;R$ 4624.00;17.0;R$ 3878.50
JFK-Estados Unidos;LIS-Portugal;3;23;R$ 2293.00;R$ 4918.00;13.8;R$ 3655.30
KIN-Jamaica;YYC-Canada;1;23;R$ 2454.00;R$ 4472.00;15.4;R$ 3458.40
FEN-Brasil;MEL-Austrália;1;19;R$ 2341.00;R$ 4944.00;9.6;R$ 3913.80
MEX-México;KIN-Jamaica;1;23;R$ 2015.00;R$ 4658.00;11.7;R$ 3329.40
KIN-Jamaica;LIS-Portugal;1;21;R$ 2857.00;R$ 4934.00;12.2;R$ 3897.70
NRT-Japão;LIS-Portugal;1;24;R$ 2040.00;R$ 4984.00;11.5;R$ 3175.70
MEX-México;LIS-Portugal;2;22;R$ 2217.00;R$ 4824.00;14.3;R$ 3157.70
YYC-Canada;MEL-Austrália;4;24;R$ 2026.00;R$ 4848.00;13.1;R$ 3529.30
JFK-Estados Unidos;YYC-Canada;1;22;R$ 2004.00;R$ 4807.00;11.4;R$ 3048.60
NRT-Japão;KIN-Jamaica;3;24;R$ 2359.00;R$ 4942.00;12.9;R$ 3869.60
NRT-Japão;GRU-Brasil;1;19;R$ 2263.00;R$ 4304.00;11.5;R$ 3465.10
JFK-Estados Unidos;FEN-Brasil;1;24;R$ 3010.00;R$ 4685.00;11.9;R$ 3818.20
MEX-México;YYC-Canada;2;23;R$ 2129.00;R$ 4941.00;12.3;R$ 3558.30
PEK-China;GRU-Brasil;2;23;R$ 2088.00;R$ 4602.00;15.4;R$ 3284.70
YYC-Canada;LIS-Portugal;1;24;R$ 2001.00;R$ 4600.00;11.4;R$ 3468.20
PEK-China;KIN-Jamaica;1;24;R$ 2546.00;R$ 4757.00;10.4;R$ 3163.50
MEL-Austrália;LIS-Portugal;1;24;R$ 2459.00;R$ 4527.00;12.1;R$ 3212.10
FEN-Brasil;YYC-Canada;1;17;R$ 2073.00;R$ 4828.00;8.3;R$ 3645.10
GRU-Brasil;LIS-Portugal;3;22;R$ 2323.00;R$ 4986.00;14.0;R$ 3483.40
MEX-México;PEK-China;5;18;R$ 2061.00;R$ 4348.00;11.4;R$ 3702.00
JFK-Estados Unidos;PEK-China;10;24;R$ 2061.00;R$ 4967.00;17.3;R$ 3879.80
GRU-Brasil;YYC-Canada;8;22;R$ 2211.00;R$ 4971.00;14.9;R$ 3468.80
MEX-México;GRU-Brasil;2;24;R$ 2372.00;R$ 4933.00;13.2;R$ 3780.70
KIN-Jamaica;MEL-Austrália;2;23;R$ 2044.00;R$ 4815.00;13.8;R$ 3318.30
FEN-Brasil;LIS-Portugal;1;21;R$ 2242.00;R$ 4924.00;11.5;R$ 3231.60
NRT-Japão;YYC-Canada;2;17;R$ 2052.00;R$ 4847.00;9.9;R$ 3843.30
JFK-Estados Unidos;GRU-Brasil;1;23;R$ 2294.00;R$ 4995.00;13.3;R$ 3707.10
PEK-China;FEN-Brasil;2;22;R$ 2108.00;R$ 4321.00;11.2;R$ 3318.10
NRT-Japão;MEL-Austrália;9;24;R$ 2345.00;R$ 4640.00;16.3;R$ 3587.10
JFK-Estados Unidos;MEL-Austrália;1;19;R$ 2129.00;R$ 4746.00;8.7;R$ 3110.50
GRU-Brasil;FEN-Brasil;4;21;R$ 2299.00;R$ 4946.00;13.1;R$ 3522.40
MEX-México;MEL-Austrália;2;23;R$ 2231.00;R$ 4800.00;13.4;R$ 3387.60
MEX-México;NRT-Japão;1;24;R$ 2405.00;R$ 4679.00;10.5;R$ 3497.00
JFK-Estados Unidos;KIN-Jamaica;1;23;R$ 2073.00;R$ 4631.00;9.9;R$ 3464.00
JFK-Estados Unidos;NRT-Japão;2;23;R$ 2076.00;R$ 4937.00;14.8;R$ 3424.30
GRU-Brasil;MEL-Austrália;1;23;R$ 2464.00;R$ 4943.00;11.7;R$ 4216.00
NRT-Japão;PEK-China;2;22;R$ 2088.00;R$ 4928.00;11.4;R$ 3517.30
KIN-Jamaica;FEN-Brasil;1;23;R$ 2071.00;R$ 4680.00;12.1;R$ 2838.80
PEK-China;YYC-Canada;3;24;R$ 2225.00;R$ 4720.00;11.9;R$ 3349.90
PEK-China;LIS-Portugal;1;22;R$ 2146.00;R$ 4678.00;11.3;R$ 3187.40
NRT-Japão;FEN-Brasil;1;21;R$ 2317.00;R$ 4854.00;8.5;R$ 3643.40
JFK-Estados Unidos;MEX-México;1;24;R$ 2645.00;R$ 4712.00;13.2;R$ 3771.90
PEK-China;MEL-Austrália;1;24;R$ 2321.00;R$ 4717.00;15.9;R$ 3213.60
